datetime,open,high,low,close,volume 
2003.05.05 21:00:00,341.485,344.208,340.276,342.367,6.86801
2003.05.06 21:00:00,342.651,344.185,339.005,341.162,6.20225
2003.05.07 21:00:00,341.385,348.054,339.956,347.732,6.14315
2003.05.08 21:00:00,347.801,348.577,345.82,347.924,5.78656
2003.05.11 21:00:00,348.163,351.576,347.725,350.399,9.49409
2003.05.12 21:00:00,350.394,351.265,348.541,349.128,11.40146
2003.05.13 21:00:00,348.995,353.95,347.405,352.19,10.36699
2003.05.14 21:00:00,351.962,355.217,350.208,351.566,10.30933
2003.05.15 21:00:00,351.209,355.068,350.493,353.9,9.96257
2003.05.18 21:00:00,355.645,364.111,354.725,363.561,5.58751
2003.05.19 21:00:00,364.011,369.295,363.296,367.64,6.60219
2003.05.20 21:00:00,367.895,371.995,362.754,371.495,6.08983
2003.05.21 21:00:00,371.543,371.798,367.434,367.728,6.08563
2003.05.22 21:00:00,367.653,370.195,364.748,367.465,5.55835
2003.05.25 21:00:00,367.936,370.485,367.535,369.973,5.37271
2003.05.26 21:00:00,369.962,374.195,365.804,366.461,6.61507
2003.05.27 21:00:00,365.361,366.595,357.995,364.393,6.10947
2003.05.28 21:00:00,364.146,365.004,359.595,364.577,6.02313
2003.05.29 21:00:00,364.735,368.795,363.004,363.74,5.87055
2003.06.01 21:00:00,362.452,366.242,359.55,365.437,5.56236
2003.06.02 21:00:00,365.315,366.936,363.913,364.937,6.74527
2003.06.03 21:00:00,364.792,365.339,360.358,360.702,6.06049
2003.06.04 21:00:00,360.959,367.397,360.236,366.827,6.20223
2003.06.05 21:00:00,366.984,368.298,361.498,363.118,5.7339
2003.06.08 21:00:00,362.805,365.189,360.355,360.948,5.53199
2003.06.09 21:00:00,360.85,361.571,351.079,351.411,6.77291
2003.06.10 21:00:00,351.539,355.766,351.073,354.119,6.20507
2003.06.11 21:00:00,354.167,355.115,350.336,352.725,6.25542
2003.06.12 21:00:00,352.674,356.103,351.439,355.696,5.91272
2003.06.15 21:00:00,355.998,360.304,355.558,358.413,5.61897
2003.06.16 21:00:00,358.333,362.87,358.105,362.795,6.76201
2003.06.17 21:00:00,362.603,363.866,356.181,356.499,6.10971
2003.06.18 21:00:00,356.736,360.973,353.944,360.911,6.24596
2003.06.19 21:00:00,360.573,362.079,355.47,355.765,5.70848
2003.06.22 21:00:00,355.89,357.169,351.669,351.783,5.4892
2003.06.23 21:00:00,351.914,354.264,345.343,345.675,6.57982
2003.06.24 21:00:00,345.443,348.778,345.441,347.811,6.10733
2003.06.25 21:00:00,347.701,348.271,342.713,343.079,6.10187
2003.06.26 21:00:00,343.003,345.69,341.693,344.612,6.02078
2003.06.29 21:00:00,344.325,347.414,343.428,345.245,5.63486
2003.06.30 21:00:00,345.49,351.056,344.35,350.487,6.72701
2003.07.01 21:00:00,350.255,352.296,349.081,350.259,5.99483
2003.07.02 21:00:00,350.257,350.966,348.571,350.098,5.83009
2003.07.03 21:00:00,350.026,351.061,349.824,350.233,5.67807
2003.07.06 21:00:00,350.163,351.474,346.838,347.174,5.4529
2003.07.07 21:00:00,347.218,348.033,342.763,343.56,6.74428
2003.07.08 21:00:00,343.439,345.474,342.712,343.605,6.06679
2003.07.09 21:00:00,343.644,345.38,341.251,344.294,6.01256
2003.07.10 21:00:00,344.112,344.604,342.498,344.34,5.77751
2003.07.13 21:00:00,344.393,347.347,343.281,346.355,5.64602
2003.07.14 21:00:00,346.746,348.731,342.692,342.885,6.63215
2003.07.15 21:00:00,342.783,344.022,340.477,342.556,6.04765
2003.07.16 21:00:00,342.801,344.597,341.657,343.184,5.99657
2003.07.17 21:00:00,343.16,346.766,342.413,346.422,5.61483
2003.07.20 21:00:00,346.132,351.486,345.755,350.721,5.38795
2003.07.21 21:00:00,350.48,352.316,348.811,350.096,6.69251
2003.07.22 21:00:00,350.122,358.319,349.477,358.095,6.70426
2003.07.23 21:00:00,357.947,361.963,355.993,361.945,7.05022
2003.07.24 21:00:00,361.797,362.968,358.815,362.029,6.45612
2003.07.27 21:00:00,361.764,366.542,360.813,364.059,5.40538
2003.07.28 21:00:00,364.012,364.8,360.394,361.068,7.16289
2003.07.29 21:00:00,360.879,361.342,354.374,355.222,6.62461
2003.07.30 21:00:00,355.295,357.045,353.035,353.692,6.60234
2003.07.31 21:00:00,353.696,355.498,348.359,348.359,6.10053
2003.08.03 21:00:00,348.095,349.592,346.045,348.074,5.74771
2003.08.04 21:00:00,348.995,351.336,347.648,350.833,9.6742
2003.08.05 21:00:00,351.175,353.005,348.587,351.045,9.41276
2003.08.06 21:00:00,350.884,353.345,348.69,352.395,9.29017
2003.08.07 21:00:00,352.395,357.195,351.675,356.295,8.24027
2003.08.10 21:00:00,355.795,361.776,355.169,360.905,9.18154
2003.08.11 21:00:00,361.142,361.714,357.436,357.522,10.57606
2003.08.12 21:00:00,357.995,363.598,354.95,361.649,10.86096
2003.08.13 21:00:00,361.635,366.595,359.359,365.495,10.83303
2003.08.14 21:00:00,365.495,366.415,362.247,363.295,7.24863
2003.08.17 21:00:00,362.35,362.994,357.135,357.682,8.52064
2003.08.18 21:00:00,357.697,362.198,355.427,361.595,9.03689
2003.08.19 21:00:00,361.595,366.295,360.667,365.795,10.07785
2003.08.20 21:00:00,365.36,366.145,357.859,360.076,10.39064
2003.08.21 21:00:00,360.194,363.695,357.227,362.07,9.52807
2003.08.24 21:00:00,362.554,363.395,359.705,360.795,9.35976
2003.08.25 21:00:00,360.618,365.498,358.387,363.627,10.36236
2003.08.26 21:00:00,363.995,373.695,362.095,371.767,10.99073
2003.08.27 21:00:00,371.916,372.195,367.958,368.673,10.93113
2003.08.28 21:00:00,369.195,376.698,368.153,374.886,8.37437
2003.08.31 21:00:00,374.36,378.095,373.256,375.095,6.18631
2003.09.01 21:00:00,374.624,378.698,370.737,371.495,11.09276
2003.09.02 21:00:00,371.293,375.098,368.794,373.193,10.62743
2003.09.03 21:00:00,373.193,374.395,368.956,372.499,10.52091
2003.09.04 21:00:00,372.701,378.298,369.536,376.692,8.72937
2003.09.07 21:00:00,376.577,376.64,372.51,374.434,9.45575
2003.09.08 21:00:00,374.534,382.947,374.218,382.173,11.44412
2003.09.09 21:00:00,381.569,382.271,377.361,379.814,10.69613
2003.09.10 21:00:00,379.614,380.716,374.488,379.553,10.38133
2003.09.11 21:00:00,379.388,381.055,374.098,374.798,8.54016
2003.09.14 21:00:00,374.844,376.408,372.008,373.795,9.49532
2003.09.15 21:00:00,373.308,375.772,370.785,372.623,10.21695
2003.09.16 21:00:00,372.459,376.557,371.374,375.778,9.5225
2003.09.17 21:00:00,376.166,379.402,374.341,375.676,8.69717
2003.09.18 21:00:00,375.929,382.87,374.126,381.137,7.76234
2003.09.21 21:00:00,380.38,387.373,379.839,386.398,10.86297
2003.09.22 21:00:00,386.015,387.298,382.349,383.847,10.33126
2003.09.23 21:00:00,384.298,388.398,382.546,388.398,11.49285
2003.09.24 21:00:00,388.395,393.117,383.057,384.551,12.34136
2003.09.25 21:00:00,384.898,385.85,378.393,380.398,9.91812
2003.09.28 21:00:00,380.456,384.471,378.042,381.601,10.24581
2003.09.29 21:00:00,381.678,387.916,380.586,384.693,11.90699
2003.09.30 21:00:00,384.895,385.578,381.772,384.294,9.93308
2003.10.01 21:00:00,383.888,386.239,380.269,382.397,11.32856
2003.10.02 21:00:00,382.385,385.529,366.867,369.095,9.94358
2003.10.05 21:00:00,369.095,372.976,368.501,372.274,10.19804
2003.10.06 21:00:00,372.376,376.749,371.662,375.731,10.04791
2003.10.07 21:00:00,375.862,377.274,373.678,374.48,8.37069
2003.10.08 21:00:00,374.661,376.45,367.21,368.501,9.14911
2003.10.09 21:00:00,368.242,373.36,368.028,372.595,8.48267
2003.10.12 21:00:00,373.077,374.727,368.76,374.284,9.81316
2003.10.13 21:00:00,373.96,376.282,371.217,374.811,10.63026
2003.10.14 21:00:00,374.807,375.566,370.511,372.116,10.7186
2003.10.15 21:00:00,372.296,374.572,369.939,371.089,12.3565
2003.10.16 21:00:00,371.348,372.065,365.944,370.916,9.215
2003.10.19 21:00:00,370.859,373.982,368.999,372.653,9.34361
2003.10.20 21:00:00,372.505,381.313,371.977,380.153,10.56675
2003.10.21 21:00:00,379.992,386.946,379.119,385.03,10.68119
2003.10.22 21:00:00,385.395,387.21,381.884,383.497,11.89471
2003.10.23 21:00:00,383.743,391.834,383.087,387.988,8.18265
2003.10.26 22:00:00,387.495,388.056,384.711,387.47,9.21738
2003.10.27 22:00:00,387.081,387.784,381.508,381.962,9.68682
2003.10.28 22:00:00,382.126,387.016,378.989,385.808,10.3501
2003.10.29 22:00:00,385.756,390.965,381.259,382.703,10.41108
2003.10.30 22:00:00,382.585,388.611,380.872,383.615,8.73969
2003.11.02 22:00:00,383.613,384.65,375.448,375.805,8.08521
2003.11.03 22:00:00,375.987,380.495,375.66,378.98,9.54776
2003.11.04 22:00:00,378.74,383.998,377.994,380.701,10.3127
2003.11.05 22:00:00,380.688,383.498,378.351,379.498,10.72944
2003.11.06 22:00:00,379.495,383.145,375.078,382.595,7.8343
2003.11.09 22:00:00,382.494,386.888,381.676,385.289,9.75912
2003.11.10 22:00:00,385.495,388.298,384.726,387.495,10.02292
2003.11.11 22:00:00,387.3,395.798,386.32,393.598,10.78927
2003.11.12 22:00:00,393.385,397.095,391.99,394.195,11.62963
2003.11.13 22:00:00,393.747,398.698,393.091,397.025,9.54148
2003.11.16 22:00:00,396.321,398.742,385.299,390.594,10.9741
