datetime,open,high,low,close
2012.05.11 21:00:00,90.00,150.00,50.00,110.00
2012.08.24 21:00:00,90.00,150.00,50.00,110.00
2012.10.26 21:00:00,90.00,150.00,50.00,110.00
2013.01.25 21:00:00,90.00,150.00,50.00,110.00
2013.04.12 21:00:00,90.00,150.00,50.00,110.00
2013.05.03 21:00:00,90.00,150.00,50.00,110.00
2013.07.19 21:00:00,90.00,150.00,50.00,110.00
2013.08.16 21:00:00,90.00,150.00,50.00,110.00
2013.09.27 21:00:00,90.00,150.00,50.00,110.00
2013.10.18 21:00:00,90.00,150.00,50.00,110.00
2013.12.06 21:00:00,90.00,150.00,50.00,110.00
2014.01.10 21:00:00,90.00,150.00,50.00,110.00
2014.04.04 21:00:00,90.00,150.00,50.00,110.00
2014.05.16 21:00:00,90.00,150.00,50.00,110.00
2014.06.20 21:00:00,90.00,150.00,50.00,110.00
2014.09.12 21:00:00,90.00,150.00,50.00,110.00
2014.10.03 21:00:00,90.00,150.00,50.00,110.00
2014.12.05 21:00:00,90.00,150.00,50.00,110.00
2014.12.26 21:00:00,90.00,150.00,50.00,110.00
2015.02.20 21:00:00,90.00,150.00,50.00,110.00
2015.05.15 21:00:00,90.00,150.00,50.00,110.00
2015.06.05 21:00:00,90.00,150.00,50.00,110.00
2015.07.24 21:00:00,90.00,150.00,50.00,110.00
2015.09.04 21:00:00,90.00,150.00,50.00,110.00
2015.10.09 21:00:00,90.00,150.00,50.00,110.00
2015.11.13 21:00:00,90.00,150.00,50.00,110.00
2016.01.01 21:00:00,90.00,150.00,50.00,110.00
2016.01.22 21:00:00,90.00,150.00,50.00,110.00
2016.03.25 21:00:00,90.00,150.00,50.00,110.00
2016.04.22 21:00:00,90.00,150.00,50.00,110.00
2016.05.06 21:00:00,90.00,150.00,50.00,110.00
2016.05.13 21:00:00,90.00,150.00,50.00,110.00
2016.07.29 21:00:00,90.00,150.00,50.00,110.00
2016.10.14 21:00:00,90.00,150.00,50.00,110.00
2016.10.21 21:00:00,90.00,150.00,50.00,110.00
2017.01.06 21:00:00,90.00,150.00,50.00,110.00
2017.02.10 21:00:00,90.00,150.00,50.00,110.00
2017.04.14 21:00:00,90.00,150.00,50.00,110.00
2017.05.26 21:00:00,90.00,150.00,50.00,110.00
2017.07.07 21:00:00,90.00,150.00,50.00,110.00
2017.08.18 21:00:00,90.00,150.00,50.00,110.00
2017.09.15 21:00:00,90.00,150.00,50.00,110.00
2017.10.20 21:00:00,90.00,150.00,50.00,110.00
2017.11.10 21:00:00,90.00,150.00,50.00,110.00
2017.11.17 21:00:00,90.00,150.00,50.00,110.00
2017.11.24 21:00:00,90.00,150.00,50.00,110.00
2018.02.09 21:00:00,90.00,150.00,50.00,110.00
2018.03.09 21:00:00,90.00,150.00,50.00,110.00
2018.03.23 21:00:00,90.00,150.00,50.00,110.00
2018.07.06 21:00:00,90.00,150.00,50.00,110.00
2018.07.20 21:00:00,90.00,150.00,50.00,110.00
2018.08.31 21:00:00,90.00,150.00,50.00,110.00
2018.11.16 21:00:00,90.00,150.00,50.00,110.00
2018.12.07 21:00:00,90.00,150.00,50.00,110.00
2018.12.14 21:00:00,90.00,150.00,50.00,110.00
2018.12.28 21:00:00,90.00,150.00,50.00,110.00
2019.02.08 21:00:00,90.00,150.00,50.00,110.00
2019.03.15 21:00:00,90.00,150.00,50.00,110.00
2019.05.10 21:00:00,90.00,150.00,50.00,110.00
2019.06.14 21:00:00,90.00,150.00,50.00,110.00
2019.06.28 21:00:00,90.00,150.00,50.00,110.00
2019.08.23 21:00:00,90.00,150.00,50.00,110.00
2019.09.20 21:00:00,90.00,150.00,50.00,110.00
2019.11.22 21:00:00,90.00,150.00,50.00,110.00
2019.12.06 21:00:00,90.00,150.00,50.00,110.00
2019.12.13 21:00:00,90.00,150.00,50.00,110.00
2020.02.07 21:00:00,90.00,150.00,50.00,110.00
2020.05.01 21:00:00,90.00,150.00,50.00,110.00
2020.05.08 21:00:00,90.00,150.00,50.00,110.00
2020.05.29 21:00:00,90.00,150.00,50.00,110.00
2020.06.26 21:00:00,90.00,150.00,50.00,110.00
2020.08.07 21:00:00,90.00,150.00,50.00,110.00
2020.08.28 21:00:00,90.00,150.00,50.00,110.00
2020.09.11 21:00:00,90.00,150.00,50.00,110.00
2020.10.16 21:00:00,90.00,150.00,50.00,110.00
2020.11.20 21:00:00,90.00,150.00,50.00,110.00
2020.11.27 21:00:00,90.00,150.00,50.00,110.00
2021.01.15 21:00:00,90.00,150.00,50.00,110.00
2021.01.22 21:00:00,90.00,150.00,50.00,110.00
2021.01.29 21:00:00,90.00,150.00,50.00,110.00
2021.02.05 21:00:00,90.00,150.00,50.00,110.00
2021.03.12 21:00:00,90.00,150.00,50.00,110.00
2021.04.09 21:00:00,90.00,150.00,50.00,110.00
2021.05.28 21:00:00,90.00,150.00,50.00,110.00
2021.06.25 21:00:00,90.00,150.00,50.00,110.00
2021.08.13 21:00:00,90.00,150.00,50.00,110.00
2021.09.10 21:00:00,90.00,150.00,50.00,110.00
2021.09.24 21:00:00,90.00,150.00,50.00,110.00
2021.10.15 21:00:00,90.00,150.00,50.00,110.00
2021.10.22 21:00:00,90.00,150.00,50.00,110.00
2021.10.29 21:00:00,90.00,150.00,50.00,110.00
2021.11.05 21:00:00,90.00,150.00,50.00,110.00
2021.12.17 21:00:00,90.00,150.00,50.00,110.00
2021.12.24 21:00:00,90.00,150.00,50.00,110.00
2022.01.21 21:00:00,90.00,150.00,50.00,110.00
2022.01.28 21:00:00,90.00,150.00,50.00,110.00
2022.03.18 21:00:00,90.00,150.00,50.00,110.00
2022.07.22 21:00:00,90.00,150.00,50.00,110.00
2022.08.12 21:00:00,90.00,150.00,50.00,110.00
2022.08.19 21:00:00,90.00,150.00,50.00,110.00
2022.08.30 21:00:00,90.00,150.00,50.00,110.00
2022.09.09 21:00:00,90.00,150.00,50.00,110.00
2022.11.08 21:00:00,90.00,150.00,50.00,110.00
2022.12.09 21:00:00,90.00,150.00,50.00,110.00
2022.12.20 21:00:00,90.00,150.00,50.00,110.00
2023.01.31 21:00:00,90.00,150.00,50.00,110.00
2023.02.17 21:00:00,90.00,150.00,50.00,110.00
2023.02.21 21:00:00,90.00,150.00,50.00,110.00
2023.03.28 21:00:00,90.00,150.00,50.00,110.00
2023.03.31 21:00:00,90.00,150.00,50.00,110.00
2023.04.25 21:00:00,90.00,150.00,50.00,110.00
2023.05.02 21:00:00,90.00,150.00,50.00,110.00
2023.06.23 21:00:00,90.00,150.00,50.00,110.00
2023.08.04 21:00:00,90.00,150.00,50.00,110.00
2023.08.08 21:00:00,90.00,150.00,50.00,110.00
2023.08.15 21:00:00,90.00,150.00,50.00,110.00
2023.08.18 21:00:00,90.00,150.00,50.00,110.00
2023.09.19 21:00:00,90.00,150.00,50.00,110.00
2023.10.13 21:00:00,90.00,150.00,50.00,110.00
2023.10.31 21:00:00,90.00,150.00,50.00,110.00
2023.11.17 21:00:00,90.00,150.00,50.00,110.00
