datetime,who,decl,event
2024-01-03 22:00:00,mo,-3.657991011256296,zero
2024-01-16 22:00:00,mo,2.8899383259287315,zero
2024-01-30 22:00:00,mo,-2.188407769056711,zero
2024-02-12 22:00:00,mo,0.7536580310807424,zero
2024-02-26 22:00:00,mo,-0.8143370419136166,zero
2024-03-11 21:00:00,mo,4.472994051792427,zero
2024-03-25 21:00:00,mo,-4.86794263993273,zero
2024-04-07 21:00:00,mo,1.1620770853616849,zero
2024-04-21 21:00:00,mo,-3.3229771400635197,zero
2024-05-05 21:00:00,mo,5.335823571048714,zero
2024-05-19 21:00:00,mo,-7.373802374206471,zero
2024-06-02 21:00:00,mo,9.913106330131253,zero
2024-06-16 21:00:00,mo,-11.224719853173113,zero
2024-06-30 21:00:00,mo,14.633233933705108,zero
2024-07-14 21:00:00,mo,-14.867909596612202,zero
2024-07-25 21:00:00,mo,0.6580930713363242,zero
2024-08-08 21:00:00,mo,-2.4167392978375384,zero
2024-08-22 21:00:00,mo,5.5411109310666635,zero
2024-09-04 21:00:00,mo,-0.9212153672690401,zero
2024-09-18 21:00:00,mo,2.6123047151316223,zero
2024-10-02 21:00:00,mo,-5.07077797997127,zero
2024-10-16 21:00:00,mo,6.527149241920646,zero
2024-10-29 21:00:00,mo,-3.6438338651506315,zero
2024-11-12 22:00:00,mo,3.74212365374658,zero
2024-11-25 22:00:00,mo,-2.42656764319297,zero
2024-12-09 22:00:00,mo,1.7027467572180484,zero
2024-12-22 22:00:00,mo,-0.8609225488413021,zero
2025-01-05 22:00:00,mo,0.4145982553822639,zero
2025-01-19 22:00:00,mo,-4.811665296357385,zero
2025-02-02 22:00:00,mo,5.674477932231115,zero
2025-02-16 22:00:00,mo,-8.714722966370138,zero
2025-03-02 22:00:00,mo,10.243131838626901,zero
2025-03-16 21:00:00,mo,-12.327106288713093,zero
2025-03-30 21:00:00,mo,13.792926909235117,zero
2025-04-13 21:00:00,mo,-16.106585086287712,zero
2025-04-27 21:00:00,mo,17.049069981246273,zero
2025-05-08 21:00:00,mo,-4.001614412845348,zero
2025-05-22 21:00:00,mo,1.2997368991890903,zero
2025-06-04 21:00:00,mo,-2.6258436065455135,zero
2025-06-19 21:00:00,mo,6.225358624886465,zero
2025-07-01 21:00:00,mo,-1.0208347569818146,zero
2025-07-16 21:00:00,mo,4.965988534418998,zero
2025-07-29 21:00:00,mo,-4.97582755587447,zero
2025-08-12 21:00:00,mo,3.5290094008447856,zero
2024-01-09 22:00:00,mo,-27.95877113152689,min_stand
2024-01-22 22:00:00,mo,28.236961861140088,max_stand
2024-02-06 22:00:00,mo,-28.231778001381482,min_stand
2024-02-18 22:00:00,mo,28.18686415758502,max_stand
2024-03-04 22:00:00,mo,-28.577596894177,min_stand
2024-03-17 21:00:00,mo,28.418245557684685,max_stand
2024-03-31 21:00:00,mo,-28.58952997651023,min_stand
2024-04-14 21:00:00,mo,27.699791918509643,max_stand
2024-04-28 21:00:00,mo,-28.792612987735577,min_stand
2024-05-12 21:00:00,mo,26.25749534770826,max
2024-05-26 21:00:00,mo,-27.942072545348136,min_stand
2024-06-06 21:00:00,mo,27.122174919103056,max_stand
2024-06-20 21:00:00,mo,-27.813873626636422,min_stand
2024-07-04 21:00:00,mo,27.627899493667606,max_stand
2024-07-18 21:00:00,mo,-28.8752704031616,min_stand
2024-07-31 21:00:00,mo,27.636522117030903,max_stand
2024-08-15 21:00:00,mo,-29.275711565199895,min_stand
2024-08-28 21:00:00,mo,27.805995653293202,max_stand
2024-09-11 21:00:00,mo,-29.151103275389477,min_stand
2024-09-24 21:00:00,mo,28.15338481907475,max_stand
2024-10-09 21:00:00,mo,-29.011973826637572,min_stand
2024-10-21 21:00:00,mo,28.33057640546747,max_stand
2024-11-05 22:00:00,mo,-28.677174418301785,min_stand
2024-11-17 22:00:00,mo,28.279150440302217,max_stand
2024-12-02 22:00:00,mo,-28.431331015405853,min_stand
2024-12-15 22:00:00,mo,28.499616236973935,max_stand
2024-12-29 22:00:00,mo,-28.28246733993703,min_stand
2025-01-12 22:00:00,mo,28.075755799767812,max_stand
2025-01-26 22:00:00,mo,-28.369243408417255,min_stand
2025-02-09 22:00:00,mo,26.82229859838727,max
2025-02-23 22:00:00,mo,-27.91881189474826,min_stand
2025-03-06 22:00:00,mo,28.01554139231291,max_stand
2025-03-20 21:00:00,mo,-27.588553372346766,min_stand
2025-04-03 21:00:00,mo,28.468224595423315,max_stand
2025-04-16 21:00:00,mo,-27.162241120409636,min_stand
2025-04-30 21:00:00,mo,27.947585497030932,max_stand
2025-05-15 21:00:00,mo,-28.96421473943714,min_stand
2025-05-28 21:00:00,mo,27.803980895453755,max_stand
2025-06-11 21:00:00,mo,-29.038962717676572,min_stand
2025-06-24 21:00:00,mo,27.62299728080381,max_stand
2025-07-08 21:00:00,mo,-29.050097560953812,min_stand
2025-07-22 21:00:00,mo,27.49714093718731,max_stand
2025-08-05 21:00:00,mo,-29.182342454780773,min_stand
